sac train | initial_settle_start | env_step=0/2200000 | settle_steps=550
sac train | initial_settle | env_step=0/2200000 | current_steps=55 total_steps=550
sac train | initial_settle | env_step=0/2200000 | current_steps=110 total_steps=550
sac train | initial_settle | env_step=0/2200000 | current_steps=165 total_steps=550
sac train | initial_settle | env_step=0/2200000 | current_steps=220 total_steps=550
sac train | initial_settle | env_step=0/2200000 | current_steps=275 total_steps=550
sac train | initial_settle | env_step=0/2200000 | current_steps=330 total_steps=550
sac train | initial_settle | env_step=0/2200000 | current_steps=385 total_steps=550
sac train | initial_settle | env_step=0/2200000 | current_steps=440 total_steps=550
sac train | initial_settle | env_step=0/2200000 | current_steps=495 total_steps=550
sac train | initial_settle | env_step=0/2200000 | current_steps=550 total_steps=550
sac train | initial_settle_done | env_step=0/2200000 | settle_steps=550
sac train | warmup_start | env_step=0/2200000 | warmup_steps=5000
sac train | warmup | env_step=28/2200000 | current_steps=28 total_steps=5000 replay=28
sac train | warmup | env_step=532/2200000 | current_steps=532 total_steps=5000 replay=532
sac train | env | env_step=1008/2200000 | replay=1008 warmup_remaining=3.992e+03 active_train_lanes=28.000 settling_train_lanes=0.000 settling_eval_lanes=0.000 proprio_count=1008 proprio_mean_abs_max=0.500 proprio_std_min=0.001 reward_train_total=-1.766e-05 reward_train_shaped=2.067e-04 reward_train_lift_progress=0.000 reward_train_reach_progress=0.000 reward_train_reach_dwell=0.008 reward_train_grasp_like=0.000 reward_train_tiny_lift_delta=0.000 reward_train_target_progress=0.000 reward_train_target_funnel_proximity=0.000 reward_train_target_funnel_progress=0.000 reward_train_target_funnel_band=0.000 reward_train_target_dwell=0.000 reward_train_target_overlift=0.000 reward_train_target_success=0.000 reward_train_target_away=0.000 reward_train_near_target_action=0.000 reward_train_target_z=0.000 reward_train_vertical_penalty=-0.007 reward_train_rotation_penalty=-0.001 reward_train_reach=3.553e-05 reward_train_lift=0.000 reward_train_goal=0.000 reward_train_goal_fine=0.000 reward_train_action_rate=-8.852e-06 reward_train_joint_vel=-4.434e-05 curriculum_stage=0 curriculum_progress=4.455e-04 gate_reach=0.000 gate_grip=0.000 gate_lift=0.000 gate_eval_reach=0.000 gate_eval_reach_dwell=0.000 gate_eval_reach_consecutive=0 gate_reach_consecutive_passed=0 gate_eval_grip_attempt=0.000 gate_eval_grip_effect=0.000 gate_eval_blocked_grasp=0.000 gate_eval_target_approach=0.000 gate_eval_lift_2cm=0.000 gate_exp_reach=0 gate_exp_grip_attempt=0 gate_exp_grip_effect=0 gate_exp_lift=0 gate_eval_passed=0 gate_exposure_passed=0 gate_min_steps_passed=0 gate_held=1 gate_advanced=0 train_gripper_mean=0.001 train_gripper_close=0.393 train_translation_norm=0.918 train_rotation_norm=1.014 train_gripper_abs=0.505 train_finger_p50_m=0.044 train_finger_blocked=0.448 train_close_near_empty=0.000 priority_uniform=0 priority_batch=0 priority_mean=1.000 protected=0 bucket_reach=0 bucket_grip=0 bucket_lift=0 bucket_goal=0 bucket_target_20cm=0.000 bucket_target_10cm=0.000 bucket_target_5cm=0.000 bucket_target_2cm=0.000 rarity_target_20cm=1.000 rarity_target_10cm=1.000 rarity_target_5cm=1.000 rarity_target_2cm=1.000 bucket_grip_attempt=0 bucket_grip_effect=0
sac train | warmup | env_step=1036/2200000 | current_steps=1036 total_steps=5000 replay=1036
sac train | warmup | env_step=1540/2200000 | current_steps=1540 total_steps=5000 replay=1540
