sac train | env | env_step=129/2024 | replay=129
sac train | train | env_step=144/2024 | update=5 critic=0.175 actor=-1.553 alpha_loss=-19.232 alpha=0.200 q=0.511 entropy=4.940 replay=144 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=159/2024 | update=10 critic=0.054 actor=-2.000 alpha_loss=-19.039 alpha=0.199 q=1.135 entropy=4.810 replay=159 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=174/2024 | update=15 critic=0.014 actor=-1.752 alpha_loss=-18.782 alpha=0.199 q=0.882 entropy=4.639 replay=174 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=189/2024 | update=20 critic=0.021 actor=-1.768 alpha_loss=-18.950 alpha=0.199 q=0.920 entropy=4.733 replay=189 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=204/2024 | update=25 critic=0.005 actor=-1.935 alpha_loss=-19.311 alpha=0.199 q=0.998 entropy=4.945 replay=204 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=219/2024 | update=30 critic=0.007 actor=-1.993 alpha_loss=-19.142 alpha=0.198 q=1.055 entropy=4.830 replay=219 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=234/2024 | update=35 critic=0.007 actor=-1.952 alpha_loss=-19.362 alpha=0.198 q=1.020 entropy=4.955 replay=234 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=249/2024 | update=40 critic=0.006 actor=-2.016 alpha_loss=-19.055 alpha=0.198 q=1.060 entropy=4.754 replay=249 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | env | env_step=258/2024 | replay=258
sac train | train | env_step=264/2024 | update=45 critic=0.004 actor=-2.077 alpha_loss=-19.055 alpha=0.197 q=1.152 entropy=4.743 replay=264 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=279/2024 | update=50 critic=0.005 actor=-2.037 alpha_loss=-19.174 alpha=0.197 q=1.107 entropy=4.806 replay=279 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=294/2024 | update=55 critic=0.012 actor=-2.126 alpha_loss=-19.160 alpha=0.197 q=1.189 entropy=4.786 replay=294 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=309/2024 | update=60 critic=0.003 actor=-2.149 alpha_loss=-19.527 alpha=0.196 q=1.199 entropy=5.001 replay=309 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=324/2024 | update=65 critic=0.003 actor=-2.213 alpha_loss=-19.675 alpha=0.196 q=1.233 entropy=5.081 replay=324 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=339/2024 | update=70 critic=0.004 actor=-2.125 alpha_loss=-19.073 alpha=0.196 q=1.228 entropy=4.700 replay=339 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=354/2024 | update=75 critic=0.011 actor=-2.241 alpha_loss=-19.284 alpha=0.196 q=1.301 entropy=4.818 replay=354 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=369/2024 | update=80 critic=0.003 actor=-2.173 alpha_loss=-19.121 alpha=0.195 q=1.261 entropy=4.708 replay=369 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=384/2024 | update=85 critic=0.011 actor=-2.200 alpha_loss=-18.919 alpha=0.195 q=1.311 entropy=4.574 replay=384 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | env | env_step=387/2024 | replay=387
sac train | train | env_step=399/2024 | update=90 critic=0.003 actor=-2.231 alpha_loss=-19.324 alpha=0.195 q=1.306 entropy=4.810 replay=399 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=414/2024 | update=95 critic=0.008 actor=-2.254 alpha_loss=-19.144 alpha=0.194 q=1.361 entropy=4.690 replay=414 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=429/2024 | update=100 critic=0.004 actor=-2.291 alpha_loss=-19.279 alpha=0.194 q=1.349 entropy=4.762 replay=429 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=444/2024 | update=105 critic=0.004 actor=-2.316 alpha_loss=-19.271 alpha=0.194 q=1.408 entropy=4.746 replay=444 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=459/2024 | update=110 critic=0.005 actor=-2.364 alpha_loss=-19.651 alpha=0.194 q=1.401 entropy=4.967 replay=459 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=474/2024 | update=115 critic=0.013 actor=-2.319 alpha_loss=-19.257 alpha=0.193 q=1.409 entropy=4.716 replay=474 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=489/2024 | update=120 critic=0.004 actor=-2.351 alpha_loss=-19.339 alpha=0.193 q=1.436 entropy=4.755 replay=489 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=504/2024 | update=125 critic=0.002 actor=-2.326 alpha_loss=-19.313 alpha=0.193 q=1.413 entropy=4.729 replay=504 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | env | env_step=516/2024 | replay=516
sac train | train | env_step=519/2024 | update=130 critic=0.007 actor=-2.441 alpha_loss=-19.792 alpha=0.192 q=1.494 entropy=5.008 replay=519 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=534/2024 | update=135 critic=0.006 actor=-2.362 alpha_loss=-19.434 alpha=0.192 q=1.445 entropy=4.781 replay=534 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
sac train | train | env_step=549/2024 | update=140 critic=0.004 actor=-2.429 alpha_loss=-19.398 alpha=0.192 q=1.521 entropy=4.748 replay=549 lr_actor=3.00e-04 lr_critic=3.00e-04 lr_alpha=3.00e-04
